RowNo,PlantID,Species,Location,CollDate,NumFruits,Notes
890,453,LUTI,AL,6/8,1,
1333,477,LUTI,AL,6/23,2,
1334,477,LUTI,AL,6/23,4,
1335,477,LUTI,AL,6/23,1,
1336,477,LUTI,AL,6/23,1,
1337,477,LUTI,AL,6/23,2,
1338,477,LUTI,AL,6/23,1,
1339,477,LUTI,AL,6/23,1,
1340,477,LUTI,AL,6/23,2,
1341,477,LUTI,AL,6/23,1,
1342,477,LUTI,AL,6/23,1,
1343,477,LUTI,AL,6/23,2,
1344,477,LUTI,AL,6/23,1,
1360,493,LUTI,AL,6/23,2,
1361,493,LUTI,AL,6/23,1,
1362,493,LUTI,AL,6/23,2,
1363,493,LUTI,AL,6/23,1,
1345,499,LUTI,AL,6/23,2,
1346,499,LUTI,AL,6/23,1,
1347,499,LUTI,AL,6/23,5,
1348,499,LUTI,AL,6/23,6,
1349,499,LUTI,AL,6/23,4,
1350,499,LUTI,AL,6/23,1,
1351,499,LUTI,AL,6/23,3,
1352,499,LUTI,AL,6/23,1,
1353,499,LUTI,AL,6/23,3,
1354,499,LUTI,AL,6/23,2,
1355,499,LUTI,AL,6/23,2,
1356,499,LUTI,AL,6/23,3,
1357,499,LUTI,AL,6/23,1,
1358,499,LUTI,AL,6/23,4,
1359,499,LUTI,AL,6/23,7,
892,1118,LUTI,AL,6/8,3,
891,1146,LUTI,AL,6/8,1,
894,1161,LUTI,AL,6/8,1,
895,1186,LUTI,AL,6/8,4,
896,3105,LUTI,AL,6/8,1,
897,3179,LUTI,AL,6/8,11,
1585,3181,LUTI,AL,.,1,
898,3753,LUTI,AL,6/8,1,
899,3753,LUTI,AL,6/8,2,
900,3755,LUTI,AL,6/8,1,
901,3760,LUTI,AL,6/8,3,
902,3766,LUTI,AL,6/8,5,
903,3766,LUTI,AL,6/8,3,
904,3792,LUTI,AL,6/8,1,
932,729,LUTI,ATT,6/16,3,
933,744,LUTI,ATT,6/16,3,
934,745,LUTI,ATT,6/16,1,
935,749,LUTI,ATT,6/16,1,
936,750,LUTI,ATT,6/16,5,
937,757,LUTI,ATT,6/16,7,
938,757,LUTI,ATT,6/16,5,
939,759,LUTI,ATT,6/16,5,
940,759,LUTI,ATT,6/16,8,
941,765,LUTI,ATT,6/16,3,
942,766,LUTI,ATT,6/16,2,
943,766,LUTI,ATT,6/16,6,
905,769,LUTI,ATT,6/2,2,
944,769,LUTI,ATT,6/16,4,
945,769,LUTI,ATT,6/16,3,
946,769,LUTI,ATT,6/16,1,
906,771,LUTI,ATT,6/2,12,
907,775,LUTI,ATT,6/2,6,
947,775,LUTI,ATT,6/16,4,
948,775,LUTI,ATT,6/16,4,
949,775,LUTI,ATT,6/16,5,
908,776,LUTI,ATT,6/2,11,
